Battery Reference,Device Brand,Marketing Name,Exact Model Number,Evidence Status,Evidence Source,Condition / Conflict
4L,Nokia,E71,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E71x,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E72,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E63,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E90,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E52,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E55,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E61i,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E6,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,E73,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,N97,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,N810,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,N800,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,6650 Fold,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,6760 Slide,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4L,Nokia,6790 Surge,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L""."
4U,Nokia,Asha 206,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 210,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 300,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 301,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 305,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 306,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 308,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 309,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 310,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 311,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 500,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 501,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,Asha 503,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,E66,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4U,Nokia,E75,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones."
4UL,Nokia,3310 3G,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,3310 4G,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,225,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,225 Dual SIM,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,225 4G,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,5310 (2020),,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,6310 (2021),,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,Asha 220,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,Asha 225,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,Asha 230,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,Asha 500,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
4UL,Nokia,Asha 502,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing."
5C,Nokia,1100,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,Nokia,1101,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,Nokia,1110,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,Nokia,1112,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,itel,it2160,2160,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,itel,it2161,2161,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,itel,it2162,2162,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,itel,it2163,2163,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),
5C,TECNO,T301,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm."
5C,TECNO,T312,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm."
5C,TECNO,T313,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm."
5C,TECNO,T349,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm."
5C,TECNO,T401,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm."
5C,TECNO,T101,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote the numbers only (""301/312/…""); ""T"" prefix assumed for TECNO feature phones — confirm."
BL-28AT,TECNO,Y2,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client: BL-28AT and BL-28ATLONG are DIFFERENT packs; never merge.
BL-28AT,TECNO,Camon Y3 Plus,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client: BL-28AT and BL-28ATLONG are DIFFERENT packs; never merge.
